Date,Open,High,Low,Close,Volume,Adj Close
2013-04-26,84.08,84.16,84.06,84.11,732500,84.11
2013-04-25,84.05,84.05,83.98,84.00,875200,84.00
2013-04-24,84.01,84.10,84.00,84.05,851500,84.05
2013-04-23,84.09,84.17,83.99,84.07,899100,84.07
2013-04-22,84.06,84.09,84.03,84.09,872500,84.09
2013-04-19,84.06,84.06,83.97,83.98,1219800,83.98
2013-04-18,84.01,84.07,83.98,84.05,744700,84.05
2013-04-17,83.93,84.08,83.93,84.00,916300,84.00
2013-04-16,83.92,83.99,83.89,83.96,893700,83.96
2013-04-15,83.85,83.99,83.85,83.98,1435800,83.98
2013-04-12,83.72,83.89,83.72,83.89,1110300,83.89
2013-04-11,83.66,83.70,83.64,83.69,1152300,83.69
2013-04-10,83.76,83.76,83.63,83.65,864100,83.65
2013-04-09,83.85,83.92,83.78,83.81,1455400,83.81
2013-04-08,83.94,84.00,83.86,83.90,1088700,83.90
2013-04-05,83.97,83.99,83.91,83.94,1041600,83.94
2013-04-04,83.58,83.74,83.58,83.71,784400,83.71
2013-04-03,83.43,83.58,83.42,83.47,1293900,83.47
2013-04-02,83.37,83.42,83.32,83.42,2004900,83.42
2013-04-01,83.28,83.44,83.28,83.41,1056100,83.41
2013-03-28,83.60,83.66,83.55,83.64,906400,83.33
2013-03-27,83.50,83.63,83.49,83.63,1096500,83.32
2013-03-26,83.40,83.48,83.35,83.46,655500,83.15
2013-03-25,83.38,83.48,83.36,83.43,1071500,83.12
2013-03-22,83.40,83.46,83.35,83.44,722900,83.13
2013-03-21,83.45,83.45,83.34,83.36,1017000,83.06
2013-03-20,83.40,83.44,83.34,83.34,819100,83.04
2013-03-19,83.42,83.55,83.40,83.42,2258800,83.11
2013-03-18,83.32,83.39,83.30,83.37,1176100,83.06
2013-03-15,83.11,83.25,83.11,83.21,894000,82.91
2013-03-14,83.07,83.17,83.04,83.11,1735500,82.81
2013-03-13,83.11,83.18,83.06,83.08,1287700,82.78
2013-03-12,83.07,83.18,83.07,83.18,1214000,82.88
2013-03-11,83.04,83.14,83.02,83.02,1668900,82.72
2013-03-08,83.12,83.15,82.90,83.06,6339500,82.76
2013-03-07,83.36,83.38,83.26,83.29,764800,82.99
2013-03-06,83.49,83.52,83.41,83.41,919600,83.10
2013-03-05,83.60,83.61,83.53,83.55,1009500,83.24
2013-03-04,83.66,83.67,83.60,83.60,914700,83.29
2013-03-01,83.62,83.67,83.54,83.62,839700,83.31
2013-02-28,83.73,83.75,83.66,83.73,628400,83.27
2013-02-27,83.80,83.80,83.61,83.69,691400,83.23
2013-02-26,83.62,83.80,83.62,83.71,1070500,83.25
2013-02-25,83.36,83.71,83.31,83.67,1017700,83.21
2013-02-22,83.40,83.42,83.36,83.40,829500,82.94
2013-02-21,83.38,83.40,83.31,83.36,803000,82.90
2013-02-20,83.17,83.32,83.17,83.28,944600,82.82
2013-02-19,83.30,83.32,83.19,83.22,1055800,82.76
2013-02-15,83.27,83.32,83.19,83.25,2579400,82.79
2013-02-14,83.20,83.33,83.20,83.32,945500,82.86
2013-02-13,83.21,83.26,83.16,83.20,1154500,82.74
2013-02-12,83.31,83.33,83.24,83.31,1120300,82.85
2013-02-11,83.31,83.37,83.28,83.29,2254800,82.83
2013-02-08,83.39,83.42,83.25,83.39,892100,82.93
2013-02-07,83.40,83.48,83.36,83.41,1047200,82.95
2013-02-06,83.30,83.43,83.27,83.40,2416200,82.94
2013-02-05,83.26,83.29,83.17,83.20,2385600,82.74
2013-02-04,83.22,83.36,83.19,83.34,1742600,82.88
2013-02-01,83.44,83.44,83.05,83.05,1840500,82.59
2013-01-31,83.43,83.45,83.33,83.45,1630700,82.82
2013-01-30,83.34,83.37,83.25,83.30,1626700,82.68
2013-01-29,83.47,83.55,83.36,83.39,1082600,82.77
2013-01-28,83.40,83.52,83.37,83.48,1427100,82.85
2013-01-25,83.67,83.71,83.56,83.58,1473000,82.95
2013-01-24,83.89,83.92,83.83,83.85,1061700,83.22
2013-01-23,83.91,83.98,83.91,83.97,1278200,83.34
2013-01-22,83.79,83.91,83.78,83.84,2053700,83.21
2013-01-18,83.79,83.92,83.79,83.92,920000,83.29
2013-01-17,83.84,83.86,83.74,83.79,1043700,83.16
2013-01-16,83.99,84.02,83.88,83.93,1136500,83.30
2013-01-15,83.93,84.00,83.91,83.94,1283200,83.31
2013-01-14,83.86,83.93,83.83,83.83,893900,83.20
2013-01-11,83.67,83.85,83.67,83.83,1385000,83.20
2013-01-10,83.75,83.80,83.67,83.77,1198700,83.14
2013-01-09,83.77,83.80,83.68,83.77,1439600,83.14
2013-01-08,83.75,83.85,83.73,83.80,1189000,83.17
2013-01-07,83.71,83.76,83.66,83.72,1866600,83.09
2013-01-04,83.61,83.78,83.58,83.78,1822700,83.15
2013-01-03,83.91,83.93,83.65,83.65,1908500,83.02
2013-01-02,83.78,83.94,83.78,83.90,1857300,83.27
2012-12-31,84.13,84.16,83.96,84.03,2099100,83.40
2012-12-28,84.15,84.16,84.04,84.11,1627500,83.48
2012-12-27,84.00,84.17,83.92,84.09,965200,83.46
2012-12-26,83.95,84.05,83.95,84.02,1009700,83.39
2012-12-24,83.91,83.97,83.89,83.95,830100,83.32
2012-12-21,84.52,84.57,84.49,84.52,1312800,83.89
2012-12-20,84.47,84.52,84.40,84.40,1117200,83.77
2012-12-19,84.26,84.44,84.26,84.38,2254500,83.75
2012-12-18,84.32,84.38,84.19,84.20,1772600,83.57
2012-12-17,84.59,84.59,84.39,84.39,1348100,83.76
2012-12-14,84.54,84.62,84.51,84.54,2883600,83.91
2012-12-13,84.56,84.63,84.49,84.49,1208700,83.86
2012-12-12,84.80,84.82,84.61,84.66,1105800,84.03
2012-12-11,84.73,84.83,84.73,84.79,2083600,84.15
2012-12-10,84.86,84.89,84.81,84.86,1378600,84.22
2012-12-07,84.82,84.90,84.78,84.81,1239200,84.17
2012-12-06,85.00,85.04,84.94,84.97,771800,84.33
2012-12-05,84.86,84.99,84.86,84.97,1058300,84.33
2012-12-04,84.89,84.92,84.85,84.91,918000,84.27
2012-12-03,84.70,84.86,84.65,84.84,2669300,84.20
2012-11-30,85.06,85.07,84.94,84.94,976300,84.14
2012-11-29,84.92,85.02,84.91,85.00,921600,84.20
2012-11-28,84.93,85.00,84.90,84.95,803400,84.15
2012-11-27,84.81,84.92,84.80,84.90,873200,84.10
2012-11-26,84.86,84.87,84.73,84.73,951100,83.93
2012-11-23,84.69,84.78,84.66,84.75,664200,83.95
