Date,Open,High,Low,Close,Volume,Adj Close
2013-04-26,73.95,74.28,73.71,73.78,2601000,73.78
2013-04-25,74.37,74.41,73.62,74.02,2981700,74.02
2013-04-24,74.18,74.40,73.95,74.27,1750700,74.27
2013-04-23,74.06,74.26,73.58,74.11,3312300,74.11
2013-04-22,74.01,74.08,73.28,73.70,2638500,73.70
2013-04-19,72.95,73.85,72.76,73.80,1621200,73.80
2013-04-18,72.95,73.02,72.33,72.68,2616900,72.68
2013-04-17,73.30,73.38,72.27,72.79,3039700,72.79
2013-04-16,72.89,73.65,72.34,73.57,3296300,73.57
2013-04-15,73.65,73.82,72.37,72.37,3345500,72.37
2013-04-12,73.71,73.94,73.51,73.90,1618800,73.90
2013-04-11,73.45,74.08,73.25,73.72,2425000,73.72
2013-04-10,73.12,73.41,72.90,73.29,2088000,73.29
2013-04-09,73.09,73.15,72.46,72.84,2537900,72.84
2013-04-08,72.28,72.90,71.83,72.83,1773500,72.83
2013-04-05,71.22,72.25,71.09,72.25,2288300,72.25
2013-04-04,70.84,71.94,70.76,71.86,1905200,71.86
2013-04-03,71.20,71.27,70.56,70.71,2215900,70.71
2013-04-02,70.98,71.30,70.79,70.96,2546100,70.96
2013-04-01,70.66,70.77,70.11,70.74,2501200,70.74
2013-03-28,70.36,70.58,70.10,70.53,2632300,70.53
2013-03-27,69.95,70.29,69.80,70.29,2463100,70.29
2013-03-26,69.75,70.21,69.75,70.16,1722600,70.16
2013-03-25,69.67,70.00,69.42,69.56,2676500,69.56
2013-03-22,69.40,69.64,69.26,69.55,3143500,69.55
2013-03-21,69.70,70.20,69.67,69.72,1723800,69.19
2013-03-20,69.98,70.07,69.69,69.93,3110100,69.39
2013-03-19,70.08,70.23,69.27,69.71,3055200,69.18
2013-03-18,69.88,70.28,69.87,70.05,2398300,69.51
2013-03-15,70.21,70.47,69.92,70.44,2243800,69.90
2013-03-14,69.95,70.37,69.86,70.28,2647700,69.74
2013-03-13,69.80,70.03,69.56,69.84,1785000,69.31
2013-03-12,70.13,70.13,69.65,69.77,2190100,69.24
2013-03-11,69.97,70.12,69.71,70.03,1712600,69.49
2013-03-08,70.22,70.23,69.53,69.97,2473300,69.43
2013-03-07,70.41,70.41,69.79,69.85,1923300,69.32
2013-03-06,70.61,70.74,69.92,70.18,3021800,69.64
2013-03-05,70.15,70.54,69.83,70.39,2835800,69.85
2013-03-04,69.28,70.02,69.28,69.84,3141000,69.31
2013-03-01,68.91,69.41,68.56,69.32,3862400,68.79
2013-02-28,69.16,69.46,69.06,69.09,4566400,68.56
2013-02-27,68.76,69.48,68.56,69.16,1551400,68.63
2013-02-26,68.54,68.85,68.12,68.66,2382800,68.13
2013-02-25,69.74,69.82,68.19,68.19,2550400,67.67
2013-02-22,69.15,69.51,69.04,69.51,1941400,68.98
2013-02-21,69.31,69.36,68.66,68.82,2185700,68.29
2013-02-20,69.83,70.07,69.34,69.34,1764500,68.81
2013-02-19,69.45,69.80,69.36,69.79,1673700,69.26
2013-02-15,69.33,69.34,68.97,69.24,1504200,68.71
2013-02-14,69.47,69.49,69.17,69.21,2169200,68.68
2013-02-13,69.71,69.73,69.31,69.50,2525900,68.97
2013-02-12,69.16,69.55,69.01,69.54,2357700,69.01
2013-02-11,68.85,69.09,68.80,69.02,2177700,68.49
2013-02-08,68.44,68.92,68.37,68.92,2799900,68.39
2013-02-07,68.58,68.70,68.11,68.29,1793400,67.77
2013-02-06,68.18,68.59,68.03,68.58,8277600,68.05
2013-02-05,68.75,68.79,68.25,68.34,2401200,67.82
2013-02-04,68.42,68.77,68.29,68.50,2827500,67.98
2013-02-01,68.62,68.86,68.35,68.66,3376600,68.13
2013-01-31,68.52,68.61,68.09,68.26,2186400,67.74
2013-01-30,69.31,69.31,68.54,68.67,1872600,68.14
2013-01-29,69.17,69.33,69.06,69.33,2343700,68.80
2013-01-28,69.17,69.29,68.81,69.13,3364700,68.60
2013-01-25,68.80,68.99,68.61,68.95,2095600,68.42
2013-01-24,68.60,68.74,68.33,68.56,2346200,68.03
2013-01-23,68.48,68.53,68.26,68.42,2383100,67.90
2013-01-22,68.15,68.45,68.01,68.44,2187400,67.92
2013-01-18,67.89,68.09,67.66,68.09,2277500,67.57
2013-01-17,67.88,67.92,67.72,67.80,2421900,67.28
2013-01-16,67.56,67.63,67.38,67.59,2384800,67.07
2013-01-15,67.29,67.76,67.15,67.67,2101400,67.15
2013-01-14,67.34,67.36,67.15,67.35,1787200,66.83
2013-01-11,67.29,67.37,66.90,67.16,2022000,66.65
2013-01-10,67.36,67.55,66.94,67.20,2824100,66.69
2013-01-09,67.16,67.22,66.93,67.13,2134400,66.62
2013-01-08,67.08,67.20,66.74,66.94,1533700,66.43
2013-01-07,66.94,67.12,66.76,67.07,2243600,66.56
2013-01-04,66.81,66.95,66.52,66.92,2338700,66.41
2013-01-03,66.62,66.94,66.49,66.61,3571000,66.10
2013-01-02,66.93,67.09,66.21,66.62,5286400,66.11
2012-12-31,65.12,65.81,64.89,65.80,3718700,65.30
2012-12-28,65.34,65.72,65.06,65.11,1990300,64.61
2012-12-27,65.41,65.66,64.81,65.54,2305800,65.04
2012-12-26,65.91,65.91,65.14,65.30,1724100,64.80
2012-12-24,65.57,65.81,65.29,65.61,1802600,65.11
2012-12-21,65.88,66.56,65.68,66.32,2252500,65.02
2012-12-20,65.48,66.46,65.48,66.43,2695600,65.13
2012-12-19,65.96,65.99,65.54,65.57,3408800,64.29
2012-12-18,65.20,65.66,65.06,65.66,2532300,64.37
2012-12-17,64.95,65.06,64.65,64.99,2315800,63.72
2012-12-14,64.67,64.82,64.49,64.65,2544500,63.38
2012-12-13,65.00,65.24,64.45,64.66,2614500,63.39
2012-12-12,65.53,65.68,64.90,65.16,2335300,63.88
2012-12-11,65.42,65.52,65.20,65.34,2086900,64.06
2012-12-10,65.30,65.49,65.05,65.18,1934200,63.90
2012-12-07,65.05,65.22,64.93,65.21,2812900,63.93
2012-12-06,64.56,64.99,64.35,64.97,2335500,63.70
2012-12-05,64.61,64.69,64.13,64.37,2487100,63.11
2012-12-04,64.38,64.91,64.34,64.57,2379700,63.31
2012-12-03,64.48,64.85,64.28,64.47,3735500,63.21
2012-11-30,64.10,64.52,64.03,64.21,3312300,62.95
2012-11-29,64.13,64.15,63.54,64.08,3011100,62.83
2012-11-28,63.70,63.80,63.11,63.73,5931100,62.48
2012-11-27,63.66,64.39,63.26,63.81,5494200,62.56
2012-11-26,63.90,64.61,63.70,64.17,3668600,62.91
2012-11-23,63.80,64.09,63.60,64.04,921500,62.79
2012-11-21,63.72,63.86,63.24,63.57,1954000,62.33
2012-11-20,63.30,63.68,62.86,63.68,2490200,62.43
2012-11-19,63.13,63.39,62.80,63.21,2112300,61.97
2012-11-16,62.11,62.50,61.66,62.44,2446300,61.22
2012-11-15,62.38,62.73,61.69,62.06,3151600,60.84
2012-11-14,63.81,63.81,62.15,62.35,2489400,61.13
2012-11-13,63.35,63.91,63.25,63.54,1648100,62.30
2012-11-12,63.86,63.92,63.35,63.59,1182200,62.34
2012-11-09,63.78,64.19,63.45,63.74,2400500,62.49
2012-11-08,64.70,64.70,63.90,63.91,1793200,62.66
2012-11-07,64.61,64.94,64.37,64.68,2476300,63.41
2012-11-06,64.92,65.10,64.55,64.97,1415100,63.70
2012-11-05,65.12,65.20,64.30,64.69,1633100,63.42
2012-11-02,65.06,65.57,65.01,65.12,2587100,63.84
2012-11-01,64.50,64.95,64.22,64.69,2311200,63.42
2012-10-31,64.04,64.44,63.74,64.38,2616900,63.12
2012-10-26,64.30,64.30,63.40,63.76,2320000,62.51
2012-10-25,64.86,65.15,63.68,64.32,2028200,63.06
2012-10-24,64.72,64.95,64.30,64.50,1701100,63.24
2012-10-23,64.74,64.86,64.09,64.55,1976200,63.29
2012-10-22,65.49,65.55,64.83,65.21,1642900,63.93
2012-10-19,66.06,66.32,65.44,65.54,2046100,64.26
2012-10-18,65.32,66.11,65.32,66.09,2155900,64.80
2012-10-17,65.31,65.55,64.99,65.42,2665300,64.14
2012-10-16,65.45,65.71,65.40,65.60,2355800,64.32
2012-10-15,64.79,65.24,64.46,65.20,2209900,63.92
2012-10-12,65.11,65.37,64.71,64.77,1741200,63.50
2012-10-11,65.36,65.53,65.00,65.00,1537800,63.73
2012-10-10,64.87,65.19,64.68,65.05,1984800,63.78
2012-10-09,65.05,65.36,64.77,64.79,2292200,63.52
2012-10-08,64.83,65.06,64.72,65.03,1825600,63.76
2012-10-05,65.15,65.52,64.96,65.17,1636300,63.89
2012-10-04,65.42,65.62,64.78,65.09,2258000,63.82
2012-10-03,65.07,65.68,65.00,65.11,2928600,63.83
2012-10-02,64.68,64.98,64.41,64.98,2511100,63.71
2012-10-01,65.10,65.31,63.82,64.49,5154300,63.23
2012-09-28,64.92,65.27,64.59,64.97,2903500,63.70
2012-09-27,65.05,65.52,64.84,65.07,1542000,63.80
2012-09-26,64.74,65.18,64.67,64.79,2693300,63.52
2012-09-25,65.98,66.03,64.77,64.80,5153600,63.53
2012-09-24,65.73,66.25,65.70,65.77,4512700,64.48
2012-09-21,66.64,66.76,66.48,66.54,6134600,64.72
2012-09-20,67.23,67.24,66.29,66.53,4285400,64.71
2012-09-19,67.97,68.02,67.53,67.53,1972600,65.69
2012-09-18,68.35,68.41,67.69,67.91,2344400,66.05
2012-09-17,68.79,69.11,68.47,68.56,2430200,66.69
2012-09-14,68.54,69.20,68.51,68.76,4855800,66.88
2012-09-13,67.62,68.48,67.52,68.38,4467500,66.51
2012-09-12,67.47,67.63,67.26,67.55,3416200,65.70
2012-09-11,67.20,67.44,67.02,67.41,3574500,65.57
2012-09-10,67.64,67.66,67.12,67.21,3773600,65.37
2012-09-07,67.82,67.92,67.60,67.74,1648300,65.89
