Date,Open,High,Low,Close,Volume,Adj Close
2013-04-26,52.94,53.01,52.77,52.90,65600,52.90
2013-04-25,52.98,53.26,52.94,53.04,186400,53.04
2013-04-24,52.60,52.88,52.55,52.74,259100,52.74
2013-04-23,52.26,52.54,52.14,52.52,250600,52.52
2013-04-22,51.85,52.02,51.45,51.94,150800,51.94
2013-04-19,51.51,51.78,51.45,51.77,177500,51.77
2013-04-18,51.63,51.63,51.07,51.20,182000,51.20
2013-04-17,51.98,51.98,51.20,51.44,451200,51.44
2013-04-16,52.14,52.41,51.94,52.37,312200,52.37
2013-04-15,52.50,52.51,51.53,51.53,208200,51.53
2013-04-12,52.84,52.85,52.54,52.84,164100,52.84
2013-04-11,52.98,53.23,52.90,53.07,225600,53.07
2013-04-10,52.37,52.85,52.37,52.81,309000,52.81
2013-04-09,52.00,52.32,51.85,52.10,139800,52.10
2013-04-08,51.73,51.95,51.56,51.94,182400,51.94
2013-04-05,51.11,51.76,51.11,51.69,221200,51.69
2013-04-04,51.70,51.96,51.62,51.86,127500,51.86
2013-04-03,52.26,52.28,51.50,51.57,188700,51.57
2013-04-02,52.02,52.33,52.02,52.14,276800,52.14
2013-04-01,52.23,52.24,51.70,51.83,467300,51.83
2013-03-28,52.10,52.34,52.02,52.28,273700,52.28
2013-03-27,51.78,52.13,51.65,52.07,166800,52.07
2013-03-26,51.96,52.15,51.92,52.13,122500,52.13
2013-03-25,52.18,52.23,51.52,51.74,185400,51.74
2013-03-22,51.91,52.06,51.83,52.05,137400,52.05
2013-03-21,51.99,52.13,51.78,51.86,402100,51.70
2013-03-20,52.33,52.39,52.15,52.27,244700,52.10
2013-03-19,52.23,52.30,51.53,51.82,2029100,51.66
2013-03-18,52.00,52.43,51.90,52.18,195100,52.01
2013-03-15,52.65,52.69,52.47,52.52,296600,52.35
2013-03-14,52.45,52.70,52.40,52.67,188000,52.50
2013-03-13,52.36,52.41,52.13,52.30,123100,52.13
2013-03-12,52.51,52.58,52.22,52.33,191100,52.16
2013-03-11,52.46,52.61,52.31,52.60,78000,52.43
2013-03-08,52.42,52.48,52.18,52.45,412400,52.28
2013-03-07,52.19,52.29,52.16,52.24,155500,52.07
2013-03-06,52.11,52.23,51.94,52.05,424800,51.89
2013-03-05,51.77,52.07,51.77,51.97,301100,51.81
2013-03-04,51.21,51.50,51.11,51.49,352700,51.33
2013-03-01,51.00,51.38,50.85,51.37,365700,51.21
2013-02-28,51.41,51.61,51.24,51.24,453500,51.08
2013-02-27,50.70,51.48,50.63,51.34,179800,51.18
2013-02-26,50.82,50.91,50.36,50.78,269400,50.62
2013-02-25,51.86,51.86,50.45,50.46,304700,50.30
2013-02-22,51.24,51.42,51.06,51.42,132100,51.26
2013-02-21,51.17,51.17,50.70,50.90,201500,50.74
2013-02-20,52.11,52.13,51.41,51.43,249300,51.27
2013-02-19,51.87,52.07,51.80,52.02,399100,51.86
2013-02-15,51.78,51.78,51.44,51.57,295000,51.41
2013-02-14,51.58,51.75,51.49,51.70,276600,51.54
2013-02-13,51.89,51.96,51.69,51.78,185300,51.62
2013-02-12,51.58,51.80,51.50,51.68,191800,51.52
2013-02-11,51.60,51.60,51.40,51.52,287900,51.36
2013-02-08,51.49,51.61,51.44,51.59,230600,51.43
2013-02-07,51.53,51.53,50.95,51.28,250100,51.12
2013-02-06,51.27,51.55,51.21,51.55,263800,51.39
2013-02-05,51.29,51.64,51.29,51.50,189700,51.34
