Date,Open,High,Low,Close,Volume
25-Apr-13,52.98,53.26,52.94,53.04,186362
24-Apr-13,52.60,52.88,52.55,52.74,259060
23-Apr-13,52.26,52.54,52.14,52.52,381553
22-Apr-13,51.85,52.02,51.45,51.94,150776
19-Apr-13,51.51,51.78,51.45,51.77,177416
18-Apr-13,51.63,51.63,51.07,51.20,181999
17-Apr-13,51.98,51.98,51.20,51.44,451171
16-Apr-13,52.14,52.41,51.94,52.37,312198
15-Apr-13,52.50,52.51,51.53,51.53,208116
12-Apr-13,52.84,52.85,52.54,52.84,164007
11-Apr-13,52.98,53.23,52.90,53.07,225502
10-Apr-13,52.37,52.85,52.37,52.81,308958
9-Apr-13,52.00,52.32,51.85,52.10,139723
8-Apr-13,51.67,51.95,51.56,51.94,182361
5-Apr-13,51.11,51.76,51.11,51.69,221164
4-Apr-13,51.70,51.96,51.62,51.86,127464
3-Apr-13,52.26,52.28,51.50,51.57,188632
2-Apr-13,52.02,52.33,52.02,52.14,276723
1-Apr-13,52.23,52.24,51.70,51.83,467269
28-Mar-13,52.10,52.34,52.02,52.28,273675
27-Mar-13,51.78,52.13,51.65,52.07,166742
26-Mar-13,51.96,52.15,51.92,52.13,122424
25-Mar-13,52.18,52.23,51.52,51.74,185397
22-Mar-13,51.91,52.06,51.83,52.05,137340
21-Mar-13,51.99,52.13,51.78,51.86,402013
20-Mar-13,52.33,52.39,52.15,52.27,244661
19-Mar-13,52.23,52.30,51.53,51.82,2029024
18-Mar-13,52.00,52.43,51.90,52.18,195022
15-Mar-13,52.65,52.69,52.47,52.52,296596
14-Mar-13,52.45,52.70,52.40,52.67,187902
13-Mar-13,52.36,52.41,52.13,52.30,123071
12-Mar-13,52.51,52.58,52.22,52.33,191081
11-Mar-13,52.46,52.61,52.31,52.60,77929
8-Mar-13,52.42,52.48,52.18,52.45,412355
7-Mar-13,52.19,52.29,52.16,52.24,155436
6-Mar-13,52.11,52.23,51.94,52.05,424736
5-Mar-13,51.77,52.07,51.77,51.97,301043
4-Mar-13,51.21,51.50,51.11,51.49,352699
1-Mar-13,51.00,51.38,50.85,51.37,365686
28-Feb-13,51.41,51.61,51.24,51.24,453429
27-Feb-13,50.70,51.48,50.63,51.34,179798
26-Feb-13,50.82,50.91,50.36,50.78,269356
25-Feb-13,51.86,51.86,50.45,50.46,304701
22-Feb-13,51.24,51.42,51.06,51.42,132059
